anime_mal_id,character_mal_id,character_name,role
2928,5781,Atoli,Main
2928,33,Haseo,Main
2928,32,Ovan,Main
2928,34,Shino,Main
2928,5785,Aina,Supporting
2928,5784,Endrance,Supporting
2928,28978,Gaspard,Supporting
2928,29012,Ita,Supporting
2928,5782,Kuhn,Supporting
2928,31573,Matsu,Supporting
2928,5817,Pi,Supporting
2928,29020,Pilocchio,Supporting
2928,11824,Saburou,Supporting
2928,37,Sakisaka,Supporting
2928,5783,Sakubo,Supporting
2928,12245,Silabus,Supporting
2928,35,Tabby,Supporting
2928,28979,Tohta,Supporting
2928,5818,Yata,Supporting
3269,5781,Atoli,Main
3269,33,Haseo,Main
3269,32,Ovan,Main
3269,34,Shino,Main
3269,5785,Aina,Supporting
3269,29009,Asta,Supporting
3269,6845,Aura,Supporting
3269,2303,Azure Kite,Supporting
3269,28982,Bordeaux,Supporting
3269,28978,Gaspard,Supporting
3269,31595,Genius,Supporting
3269,29013,IYOTEN,Supporting
3269,5782,Kuhn,Supporting
3269,5817,Pi,Supporting
3269,20312,Sakaki,Supporting
3269,12245,Silabus,Supporting
3269,5818,Yata,Supporting
3269,11692,Yowkow,Supporting
4469,5781,Atoli,Main
4469,33,Haseo,Main
4469,32,Ovan,Main
4469,5818,Yata,Main
4469,5785,Aina,Supporting
4469,28982,Bordeaux,Supporting
4469,5784,Endrance,Supporting
4469,5782,Kuhn,Supporting
4469,5817,Pi,Supporting
4469,5783,Sakubo,Supporting
4469,34,Shino,Supporting
4469,35,Tabby,Supporting
4469,11692,Yowkow,Supporting
454,2311,Kite,Main
454,41,Subaru,Main
454,39,Tsukasa,Main
454,6845,Aura,Supporting
454,2231,Balmung,Supporting
454,2181,Bear,Supporting
454,2312,Blackrose,Supporting
454,2182,BT,Supporting
454,2185,Crim,Supporting
454,10792,Elk,Supporting
454,9169,Helba,Supporting
454,10795,Mia,Supporting
454,2180,Mimiru,Supporting
454,10796,Orca,Supporting
454,28279,Piros,Supporting
454,2184,Silver Knight,Supporting
454,2183,Sora,Supporting
454,28280,Uchiyama,Supporting
1143,2180,Mimiru,Main
1143,2181,Bear,Supporting
1143,28270,Mimika,Supporting
