person_mal_id,url,website_url,image_url,name,given_name,family_name,birthday,favorites,relevant_location
1,https://myanimelist.net/people/1/Tomokazu_Seki,N/A,https://cdn.myanimelist.net/images/voiceactors/1/85360.jpg,Tomokazu Seki,智一,関,1972-09-08T00:00:00+00:00,6219,"Berlin, Germany"
2,https://myanimelist.net/people/2/Tomokazu_Sugita,https://agrs.co.jp/,https://cdn.myanimelist.net/images/voiceactors/1/81054.jpg,Tomokazu Sugita,智和,杉田,1980-10-11T00:00:00+00:00,47666,"Los Angeles, USA"
3,https://myanimelist.net/people/3/Satsuki_Yukino,N/A,https://cdn.myanimelist.net/images/voiceactors/1/75881.jpg,Satsuki Yukino,さつき,ゆきの,1970-05-25T00:00:00+00:00,1777,"Madrid, Spain"
4,https://myanimelist.net/people/4/Aya_Hirano,http://ayahirano.jp/,https://cdn.myanimelist.net/images/voiceactors/3/78608.jpg,Aya Hirano,綾,平野,1987-10-08T00:00:00+00:00,18374,"Paris, France"
5,https://myanimelist.net/people/5/Kenichi_Suzumura,https://intention-k.com,https://cdn.myanimelist.net/images/voiceactors/1/79443.jpg,Kenichi Suzumura,健一,鈴村,1974-09-12T00:00:00+00:00,5176,"Osaka, Japan"
6,https://myanimelist.net/people/6/Toshiyuki_Morikawa,https://ameblo.jp/toshiyukimorikawa/,https://cdn.myanimelist.net/images/voiceactors/3/63480.jpg,Toshiyuki Morikawa,智之,森川,1967-01-26T00:00:00+00:00,4729,"Sydney, Australia"
7,https://myanimelist.net/people/7/Eiji_Yanagisawa,http://www.pro-baobab.jp/men/yanagisawa_e/index.html,https://cdn.myanimelist.net/images/voiceactors/2/10207.jpg,Eiji Yanagisawa,栄治,柳沢,1967-08-22T00:00:00+00:00,5,"Paris, France"
8,https://myanimelist.net/people/8/Rie_Kugimiya,http://ameblo.jp/kugimiyarie-blog/,https://cdn.myanimelist.net/images/voiceactors/3/63374.jpg,Rie Kugimiya,理恵,釘宮,1979-05-30T00:00:00+00:00,40671,"Berlin, Germany"
9,https://myanimelist.net/people/9/Kotono_Mitsuishi,https://kotochawan.com/main/profile.php,https://cdn.myanimelist.net/images/voiceactors/2/75738.jpg,Kotono Mitsuishi,琴乃,三石,1967-12-08T00:00:00+00:00,2252,"Osaka, Japan"
10,https://myanimelist.net/people/10/Johnny_Yong_Bosch,https://johnnyyongbosch.com/,https://cdn.myanimelist.net/images/voiceactors/2/68487.jpg,Johnny Yong Bosch,unknown,unknown,1976-01-06T00:00:00+00:00,12869,"Los Angeles, USA"
