character_mal_id,nickname
280205,Hikaruko
280129,Hinacchi
280127,Bertha Willis
280066,Jimmy
280059,Full Body Red Square
280058,Master of the Skywalk
280054,Last Pharaoh
280052,Heaven Shattering Sword Master
280048,War God
280043,Bartholomew
280015,Admiral
279973,Circulus Rugu
279972,Arculus Orbes
279961,Prince
279961,Professor
279850,Inugami
279836,Queen of Dragons
279800,The Blindfold
279794,Qie-shen
279768,Bradbury
279727,Bing Zun-zhe
279715,Pierre
279715,Pierrot
279658,Ghost Brothers
279657,Ghost Brothers
279655,Tora Oni
279652,Oyabun
279651,Red Armor
279650,Black Bear
279649,Blue Sword
279649,Hokkaido's Sword
279649,Ghoul
279641,The Strongest Man Iron Man
279588,Doctor Chef
279587,King of Paju
279585,King of Pohang
279583,King of Yongin
279578,Samcheok King
279577,King of Pyeongtaek
279575,King of Incheon
279575,Half-Assed King
279572,King of Busan
279572,Savior of Busan
279572,The Wolf
279571,Seoul's White Viper
279571,King of Seoul
279571,King of Chungcheong
279571,Snake
279570,King of Suwon
279569,King of Daegu
279569,Crazy Monk
279569,The Iron Fortress
279569,Fake Monk
279485,The Monster
279484,King of Ansan
279484,Dog
279484,The Ultimate Fist
279478,Elena
279472,Chief
279448,Queen of Ailment
279448,Vice Admiral of Ailment
279448,Ailment Maiden
279447,Angel of Time
279446,Elder Lovia
279444,Saintess of White
279444,Demoness of White
279443,Osananajimi
279440,Just Elland
279439,Boku
279438,Prince Edessak
279438,Duke of Lastings
279436,Chief Colin
279436,Demon Hunter Colin Iliad
279436,Elder Colin
279435,Kimi
279434,Giant King
279433,Admiral Amyrius
279433,Law Weaver
279432,Giant Guardian
279429,Elven Songster Siatas
279427,Vice Admiral Iceberg
279426,Strongest Hunter of the Fog Sea
279422,Shaman
279421,Taigoing Wang
279420,Chubbyela
279418,Lord of Beasts
279418,Beast Regent
279417,Lord of Blasphemy
279382,Eel Potato
279381,Owl in the Woods
279369,Lest
279351,Kan Junjie
279345,Maru
279314,The Blazing Nightwalker
279312,Hero Candidate
279308,Ai-Chan
279225,The Blazing Nightwalker
279221,Seven Seas
279207,Maian the Brave
279207,Layt Mia Delta
279206,Goddess of the Elements
279205,Lord of Beauty of the North
279201,Rand Deisman
279199,Blazing
279174,Sinsa-Dong Kwangtaek
279122,Grandmaster
279116,Fourth Tianzun
279049,Lee Jinhee
279037,Book Girl
279036,Takedacchi
279032,Elder
279029,Blood Blade Saint
279022,Clan Head
279019,Devil General
279015,Human Medicine
279012,Clan Elder
279010,Huo Ya
278988,Thobari's Grandfather
278949,Granny Hua
