mal_id,title,title_japanese,url,image_url,type,status,score,scored_by,start_date,end_date,synopsis,rank,popularity,members,favorites,genres,studios,themes,demographics,source,rating,episodes,season,year,producers,explicit_genres,licensors,streaming
59356,-Socket-,-socket-,https://myanimelist.net/anime/59356/-Socket-,https://cdn.myanimelist.net/images/anime/1043/144360.jpg,Movie,Finished Airing,,,2010-01-01T00:00:00+00:00,,"A girl with a cord growing out of her back wanders around hungry and searching for electricity.

(Source: YouTube, translated)",17086.0,22507,195,0,['Comedy'],[],[],[],Original,G - All Ages,1.0,,,['Nagoya Zokei University'],[],[],[]
56036,......,......,https://myanimelist.net/anime/56036/-,https://cdn.myanimelist.net/images/anime/1057/137264.jpg,Music,Finished Airing,6.53,503.0,2023-06-11T00:00:00+00:00,,Music video directed by obmolot for the song ...... by x0o0x_.,,15004,941,2,"['Horror', 'Supernatural']",['Flat Studio'],['Music'],[],Original,PG-13 - Teens 13 or older,1.0,,,[],[],[],[]
2928,.hack//G.U. Returner,.HACK//G.U. RETURNER,https://myanimelist.net/anime/2928/hack__GU_Returner,https://cdn.myanimelist.net/images/anime/1798/115989.jpg,OVA,Finished Airing,6.65,9745.0,2007-01-18T00:00:00+00:00,,"The characters from previous .hack//G.U. Games and .hack//Roots receive an email from Ovan. He is requesting them to go to Hidden Forbidden Festival where is set up a mysterious summer festival. There they find an AIDA Chim Chim who wishes to peacefully co-exist with the other players of The World. It then transforms into the word ""Returner"", so they assume it to mean that Ovan will return to The World.

(Source: ANN)",6366.0,5056,22525,31,"['Adventure', 'Drama', 'Fantasy']",['Bee Train'],['Video Game'],[],Game,PG-13 - Teens 13 or older,1.0,,,"['Bandai Visual', 'CyberConnect2']",[],[],[]
3269,.hack//G.U. Trilogy,.hack//G.U. Trilogy,https://myanimelist.net/anime/3269/hack__GU_Trilogy,https://cdn.myanimelist.net/images/anime/1566/151023.jpg,Movie,Finished Airing,7.06,15373.0,2007-12-22T00:00:00+00:00,,"Based on the CyberConnect2 HIT GAME, now will be released in a CG Movie!

The Movie will be placed in the storyline of each .hack//G.U. games trilogy. The story follows Haseo, a player in the online MMORPG called The World:R2 at first depicted as a PKK (Player Killer Killer) known as the ""Terror of Death"", a former member of the disbanded Twilight Brigade guild. Haseo encounters Azure Kite (believing him to be Tri-Edge and blaming him for what happened to Shino) but is hopelessly outmatched. Azure Kite easily defeats Haseo and Data Drains him, reducing his level from 133 to 1 and leaving him without any items, weapons, or member addresses. He is left with a mystery on his hands as to the nature of the Data Drain and why Azure Kite is in possession of such a skill.

Eventually Haseo gains the ""Avatar"" of Skeith. Acquiring the ability to call Skeith and wield his abilities, such as Data Drain. With Skeith as his strength, Haseo begins the quest for a way to save Shino.

He is seen seeking out a PK (Player Killer) known as Tri-Edge, whose victims supposedly are unable to return to The World after he PKs them. Haseo's friend, Shino, was attacked six months prior to the events of the game by Tri-Edge, and the player herself, Shino Nanao, was left in a coma.

(Source: AniDB)",4194.0,4215,34264,104,"['Action', 'Fantasy']",['CyberConnect2'],['Video Game'],[],Game,PG-13 - Teens 13 or older,1.0,,,['Bandai Visual'],[],"['Funimation', 'Bandai Entertainment']",[]
4469,.hack//G.U. Trilogy: Parody Mode,.hack//G.U. Trilogy,https://myanimelist.net/anime/4469/hack__GU_Trilogy__Parody_Mode,https://cdn.myanimelist.net/images/anime/10/8661.jpg,Special,Finished Airing,6.35,4317.0,2008-03-25T00:00:00+00:00,,"A special bonus Parody Mode added to the extras of the .hack//G.U. Trilogy 

(Source: AniDB)",8182.0,6696,11135,10,"['Comedy', 'Fantasy', 'Sci-Fi']",[],"['Parody', 'Video Game']",[],Game,PG-13 - Teens 13 or older,1.0,,,['Bandai Visual'],[],[],[]
454,.hack//Gift,.hack//GIFT,https://myanimelist.net/anime/454/hack__Gift,https://cdn.myanimelist.net/images/anime/2/23085.jpg,OVA,Finished Airing,6.09,10021.0,2003-11-16T00:00:00+00:00,,"As an expression of gratitude for the heroes of both the .hack//Sign and the .hack game series, Helba has prepared a special event for all the characters to find the newly established ""Twilight Hot Springs."" The characters can get their well-deserved rest and relaxation by having a soak in the wonderful hot springs, but there is only one problem—the hot springs are hidden, and there have been mysterious player murders. With the only clue being the word ""GIFT,"" the race has begun to find the culprit and the location of the hot springs.

[Written by MAL Rewrite]",9692.0,5162,21458,20,"['Comedy', 'Fantasy']",['Bee Train'],['Video Game'],[],Original,R+ - Mild Nudity,1.0,,,['CyberConnect2'],[],['Bandai Entertainment'],[]
1143,.hack//Intermezzo,.hack//Intermezzo,https://myanimelist.net/anime/1143/hack__Intermezzo,https://cdn.myanimelist.net/images/anime/1844/131542.jpg,Special,Finished Airing,6.51,11616.0,2003-03-28T00:00:00+00:00,,"A virtual multiplayer online role-playing game exists known as ""The World."" In ""The World,"" there is an event held in the Dungeon of Nankoflank that Mimiru, a character in the game, undertakes with Bear, another character in the game. Mimiru confesses to Bear that she is not doing the event for the treasures or experiences, but for the memories and experiences of when she first started playing. The two later meet a certain character named Mimika, and together, the three proceed through quests and events as Mimiru learns the meaning of the game.

[Written by MAL Rewrite]",7195.0,4910,24340,7,"['Adventure', 'Fantasy', 'Mystery', 'Sci-Fi']",['Bee Train'],['Video Game'],[],Original,PG-13 - Teens 13 or older,1.0,,,[],[],['Bandai Entertainment'],['Crunchyroll']
299,.hack//Liminality,.hack//LIMINALITY,https://myanimelist.net/anime/299/hack__Liminality,https://cdn.myanimelist.net/images/anime/7/23079.jpg,OVA,Finished Airing,6.58,17130.0,2002-06-20T00:00:00+00:00,2003-04-10T00:00:00+00:00,"While playing the newly released MMORPG ""The World,"" Minase Mai and Tomonari Kasumi collapse in the real world and are sent to the hospital after hearing a mysterious sound. Only Mai recovers, while her friend Kasumi slips into a mysterious coma. Mai is later approached by the creator of ""The World,"" Tokuoka Junichiro, who unveils to her that, just like her friend, six other players across the country also collapsed while playing ""The World"" and are now in mysterious comas. What exactly is ""The World,"" what is this mysterious sound Mai keeps on hearing, and why are people slipping into comas from this game? Minase, Junichiro, and their acquaintances set off to get to the bottom of this problem before any further harm happens.

[Written by MAL Rewrite]",6740.0,4178,34986,35,['Mystery'],['Bee Train'],['Video Game'],[],Original,PG-13 - Teens 13 or older,4.0,,,"['Bandai Visual', 'Bandai', 'CyberConnect2']",[],['Bandai Entertainment'],[]
9332,.hack//Quantum,.hack//Quantum,https://myanimelist.net/anime/9332/hack__Quantum,https://cdn.myanimelist.net/images/anime/1894/148837.jpg,OVA,Finished Airing,7.11,20412.0,2011-01-28T00:00:00+00:00,2011-04-07T00:00:00+00:00,"Tobias, Mary, and Sakuya challenge the impregnable ""The One Sin"", but they lose their way in the maze and unintentionally trap other guild members. A mysterious cat is watching their blunder. Is it another player character or NPC?",3960.0,3808,42217,72,"['Action', 'Adventure', 'Fantasy']",['Kinema Citrus'],['Video Game'],[],Original,PG-13 - Teens 13 or older,3.0,,,"['Bandai Visual', 'flying DOG', 'Showgate', 'BIGLOBE', 'Aquatone']",[],['Funimation'],['Crunchyroll']
10390,.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,.hack//Quantum 映像特典 それいけ！ぼくらのチムチムちゃん！！,https://myanimelist.net/anime/10390/hack__Quantum__Sore_ike_Bokura_no_Chimuchimu-chan,https://cdn.myanimelist.net/images/anime/4/29050.jpg,Special,Finished Airing,6.29,2810.0,2011-01-28T00:00:00+00:00,2011-04-07T00:00:00+00:00,DVD specials for .hack//Quantum. Main girls are being very special creatures and take lessons about the anime.,8559.0,7369,8835,3,['Comedy'],['Kinema Citrus'],['Video Game'],[],Original,PG-13 - Teens 13 or older,3.0,,,['Bandai Visual'],[],[],[]
