person_mal_id,position,anime_mal_id
1,Theme Song Performance,3080
1,Inserted Song Performance,15699
1,Theme Song Performance (OP),247
1,Theme Song Performance,258
1,Theme Song Performance (ED),34825
1,Theme Song Performance (Opening),1628
1,Theme Song Performance,4560
1,Theme Song Performance (ED),30016
1,Theme Song Performance (ED),34414
1,Theme Song Performance,1027
1,Theme Song Performance (TV OP),11813
1,Theme Song Performance,9863
1,Theme Song Performance,447
1,Theme Song Performance,446
1,Theme Song Performance,1024
2,Theme Song Performance,59406
2,Theme Song Performance (ED),32483
2,Theme Song Performance,33798
2,Theme Song Performance (ED 3),59
2,Theme Song Performance,42571
2,Inserted Song Performance (ep 133),918
2,Theme Song Performance (ED6),11013
2,Inserted Song Performance (ep 19),14765
2,Inserted Song Performance (7),14467
2,Theme Song Performance,9712
2,"Theme Song Performance (OP2, ED1)",59632
2,Inserted Song Performance (ep 12),6712
2,Theme Song Performance (ED),38707
2,Theme Song Performance (ED 5),1037
2,Theme Song Performance,31540
2,Theme Song Performance (ED 8),9863
2,Theme Song Performance,5118
3,Theme Song Performance,411
3,Theme Song Performance (ED 3),10491
3,Theme Song Performance (ED),191
3,Theme Song Performance,15651
3,Theme Song Performance (ED),1772
4,Theme Song Performance (ED10),4744
4,Inserted Song Performance,1535
4,Theme Song Performance,15
4,Theme Song Performance (ED),12049
4,Theme Song Performance (ED),9982
4,Theme Song Performance,18393
4,Theme Song Performance,1858
4,Theme Song Performance,1600
4,Theme Song Performance,1988
4,Theme Song Performance,4550
4,Theme Song Performance (ED 1-2),588
4,Theme Song Performance,1887
4,Theme Song Performance (OP),17637
4,Theme Song Performance,26351
4,Theme Song Performance,30379
4,Theme Song Performance (ED),3673
4,Theme Song Performance (ED),4719
4,Theme Song Performance,941
4,Theme Song Performance (ED),6500
4,Theme Song Performance,9202
4,Theme Song Performance,26159
4,Theme Song Performance,7311
4,"Theme Song Performance (OP2, ED1-2), Inserted Song Performance (ep 12)",849
4,"Theme Song Performance (OP, ED)",4382
4,Theme Song Performance,5118
4,Inserted Song Performance,4720
4,Theme Song Performance,4038
4,Theme Song Performance (OP),7745
5,Theme Song Performance,15605
5,Theme Song Performance,25437
5,Theme Song Performance,3389
5,Theme Song Performance (ED),36934
5,Theme Song Performance,11703
5,Theme Song Performance,15633
5,Theme Song Performance,26349
5,Theme Song Performance,29067
5,Inserted Song Performance,1132
5,Theme Song Performance,22265
5,Theme Song Performance (ED),35191
5,"Theme Song Lyrics (ED), Theme Song Performance (ED)",32648
5,Theme Song Performance (ED),36220
5,Inserted Song Performance (ep 19),14765
5,Theme Song Performance,10568
5,Theme Song Performance,31174
5,Theme Song Performance (ED2),35067
5,Theme Song Performance (ED2),42391
5,Theme Song Performance,32026
5,Theme Song Performance (ED),34238
5,Theme Song Performance,30240
5,Theme Song Performance,1037
5,Theme Song Performance,7705
5,Theme Song Performance,41132
5,Theme Song Performance (TV OP),12029
5,Theme Song Performance,1648
5,"Theme Song Performance, Inserted Song Performance",10321
5,"Theme Song Performance, Inserted Song Performance",12711
5,"Theme Song Performance, Inserted Song Performance",19251
5,Theme Song Performance,31178
5,"Theme Song Performance, Inserted Song Performance",21439
5,Inserted Song Performance,52573
