person_mal_id,url,website_url,image_url,name,given_name,family_name,birthday,favorites,relevant_location
1,https://myanimelist.net/people/1/Tomokazu_Seki,,https://cdn.myanimelist.net/images/voiceactors/1/85360.jpg,Tomokazu Seki,智一,関,1972-09-08T00:00:00+00:00,6219,"Berlin, Germany"
2,https://myanimelist.net/people/2/Tomokazu_Sugita,https://agrs.co.jp/,https://cdn.myanimelist.net/images/voiceactors/1/81054.jpg,Tomokazu Sugita,智和,杉田,1980-10-11T00:00:00+00:00,47666,"Los Angeles, USA"
3,https://myanimelist.net/people/3/Satsuki_Yukino,,https://cdn.myanimelist.net/images/voiceactors/1/75881.jpg,Satsuki Yukino,さつき,ゆきの,1970-05-25T00:00:00+00:00,1777,"Madrid, Spain"
4,https://myanimelist.net/people/4/Aya_Hirano,http://ayahirano.jp/,https://cdn.myanimelist.net/images/voiceactors/3/78608.jpg,Aya Hirano,綾,平野,1987-10-08T00:00:00+00:00,18374,"Paris, France"
5,https://myanimelist.net/people/5/Kenichi_Suzumura,https://intention-k.com,https://cdn.myanimelist.net/images/voiceactors/1/79443.jpg,Kenichi Suzumura,健一,鈴村,1974-09-12T00:00:00+00:00,5176,"Osaka, Japan"
6,https://myanimelist.net/people/6/Toshiyuki_Morikawa,https://ameblo.jp/toshiyukimorikawa/,https://cdn.myanimelist.net/images/voiceactors/3/63480.jpg,Toshiyuki Morikawa,智之,森川,1967-01-26T00:00:00+00:00,4729,"Sydney, Australia"
7,https://myanimelist.net/people/7/Eiji_Yanagisawa,http://www.pro-baobab.jp/men/yanagisawa_e/index.html,https://cdn.myanimelist.net/images/voiceactors/2/10207.jpg,Eiji Yanagisawa,栄治,柳沢,1967-08-22T00:00:00+00:00,5,"Paris, France"
8,https://myanimelist.net/people/8/Rie_Kugimiya,http://ameblo.jp/kugimiyarie-blog/,https://cdn.myanimelist.net/images/voiceactors/3/63374.jpg,Rie Kugimiya,理恵,釘宮,1979-05-30T00:00:00+00:00,40671,"Berlin, Germany"
9,https://myanimelist.net/people/9/Kotono_Mitsuishi,https://kotochawan.com/main/profile.php,https://cdn.myanimelist.net/images/voiceactors/2/75738.jpg,Kotono Mitsuishi,琴乃,三石,1967-12-08T00:00:00+00:00,2252,"Osaka, Japan"
10,https://myanimelist.net/people/10/Johnny_Yong_Bosch,https://johnnyyongbosch.com/,https://cdn.myanimelist.net/images/voiceactors/2/68487.jpg,Johnny Yong Bosch,,,1976-01-06T00:00:00+00:00,12869,"Los Angeles, USA"
11,https://myanimelist.net/people/11/Kouichi_Yamadera,,https://cdn.myanimelist.net/images/voiceactors/2/73614.jpg,Kouichi Yamadera,宏一,山寺,1961-06-17T00:00:00+00:00,1574,"New York, USA"
12,https://myanimelist.net/people/12/Steven_Blum,http://www.steveblumvoices.com,https://cdn.myanimelist.net/images/voiceactors/3/45741.jpg,Steven Blum,,,1960-04-29T00:00:00+00:00,7749,"São Paulo, Brazil"
13,https://myanimelist.net/people/13/Ayako_Kawasumi,http://osawa-inc.co.jp/blocks/index/talent00111.html,https://cdn.myanimelist.net/images/voiceactors/2/69419.jpg,Ayako Kawasumi,綾子,川澄,1976-03-30T00:00:00+00:00,4835,"London, UK"
14,https://myanimelist.net/people/14/Megumi_Hayashibara,http://king-cr.jp/artist/hayashi/index.html,https://cdn.myanimelist.net/images/voiceactors/3/63419.jpg,Megumi Hayashibara,めぐみ,林原,1967-03-30T00:00:00+00:00,6563,"Madrid, Spain"
15,https://myanimelist.net/people/15/Junko_Takeuchi,http://ameblo.jp/takeuchi-junko,https://cdn.myanimelist.net/images/voiceactors/1/54677.jpg,Junko Takeuchi,順子,竹内,1972-04-05T00:00:00+00:00,6087,"Los Angeles, USA"
16,https://myanimelist.net/people/16/Noriaki_Sugiyama,,https://cdn.myanimelist.net/images/voiceactors/3/73289.jpg,Noriaki Sugiyama,紀彰,杉山,1974-03-09T00:00:00+00:00,5959,"Nagoya, Japan"
17,https://myanimelist.net/people/17/Akira_Ishida,,https://cdn.myanimelist.net/images/voiceactors/3/62624.jpg,Akira Ishida,彰,石田,1967-11-02T00:00:00+00:00,12803,"Houston, USA"
