person_mal_id,role,anime_mal_id,character_mal_id,language
1,Main,55830,2514,Japanese
1,Supporting,60602,2822,Japanese
1,Supporting,59229,140499,Japanese
1,Supporting,60427,275856,Japanese
1,Supporting,62067,190335,Japanese
1,Supporting,60564,256949,Japanese
1,Supporting,58772,163197,Japanese
1,Supporting,62149,2514,Japanese
1,Supporting,59192,151149,Japanese
1,Main,53722,268279,Japanese
1,Supporting,60543,255803,Japanese
1,Supporting,59205,273377,Japanese
1,Supporting,61672,272999,Japanese
1,Main,59980,8261,Japanese
1,Supporting,59914,8079,Japanese
1,Supporting,59226,73589,Japanese
1,Supporting,58567,203470,Japanese
1,Supporting,49469,260502,Japanese
1,Supporting,56894,260657,Japanese
1,Supporting,57559,2822,Japanese
1,Main,58395,252489,Japanese
1,Supporting,58516,73589,Japanese
1,Supporting,59145,256949,Japanese
1,Supporting,57334,255803,Japanese
1,Supporting,60012,118773,Japanese
1,Supporting,54857,118773,Japanese
1,Supporting,54730,8079,Japanese
1,Supporting,54730,141171,Japanese
1,Supporting,59162,8079,Japanese
1,Supporting,58059,248941,Japanese
1,Supporting,56189,108289,Japanese
1,Supporting,55701,151149,Japanese
1,Supporting,58079,203622,Japanese
1,Supporting,49073,1264,Japanese
1,Supporting,54829,234932,Japanese
1,Supporting,54869,218194,Japanese
1,Supporting,53889,73589,Japanese
1,Supporting,53040,202077,Japanese
1,Main,53439,194138,Japanese
1,Supporting,50695,2822,Japanese
1,Supporting,51585,231094,Japanese
1,Supporting,56243,164476,Japanese
1,Supporting,51009,164476,Japanese
1,Main,53127,2514,Japanese
1,Supporting,54850,31280,Japanese
1,Main,52747,68315,Japanese
1,Supporting,51019,151149,Japanese
1,Supporting,53874,19852,Japanese
1,Supporting,49154,218194,Japanese
1,Main,53273,17676,Japanese
1,Supporting,50275,65171,Japanese
1,Supporting,50710,234932,Japanese
1,Supporting,50528,190335,Japanese
1,Supporting,46654,219088,Japanese
1,Main,51367,17676,Japanese
1,Supporting,50410,5677,Japanese
1,Supporting,50099,207572,Japanese
1,Supporting,50099,215333,Japanese
1,Supporting,50099,215335,Japanese
1,Supporting,50099,215336,Japanese
1,Supporting,50099,215337,Japanese
1,Supporting,50099,215338,Japanese
1,Supporting,50099,215339,Japanese
1,Supporting,50685,334,Japanese
1,Main,44025,8261,Japanese
1,Main,48561,164476,Japanese
1,Main,48661,17676,Japanese
1,Supporting,42916,65171,Japanese
1,Supporting,48775,334,Japanese
1,Supporting,49926,151149,Japanese
1,Supporting,41497,2514,Japanese
1,Supporting,44881,190032,Japanese
1,Supporting,43969,202077,Japanese
1,Supporting,44942,177548,Japanese
1,Main,48365,96253,Japanese
1,Supporting,41587,153719,Japanese
1,Supporting,3786,1262,Japanese
1,Supporting,47398,151149,Japanese
1,Supporting,38853,194401,Japanese
1,Supporting,40964,190588,Japanese
1,Supporting,44248,2514,Japanese
1,Supporting,40853,8261,Japanese
1,Supporting,40456,151149,Japanese
1,Supporting,40906,26210,Japanese
1,Supporting,40748,164476,Japanese
1,Main,40044,8261,Japanese
1,Supporting,40052,186908,Japanese
1,Supporting,41353,181438,Japanese
1,Supporting,40956,140499,Japanese
1,Supporting,41224,188544,Japanese
1,Supporting,40983,187472,Japanese
1,Supporting,40858,68315,Japanese
1,Supporting,39575,177714,Japanese
1,Supporting,39531,173118,Japanese
1,Supporting,39491,68315,Japanese
1,Supporting,38161,175066,Japanese
1,Supporting,39806,12891,Japanese
1,Main,38084,2514,Japanese
1,Supporting,38084,165010,Japanese
1,Supporting,38234,5677,Japanese
1,Supporting,40206,165010,Japanese
1,Supporting,38671,140499,Japanese
1,Main,39067,5119,Japanese
1,Supporting,38297,206631,Japanese
1,Supporting,40100,203622,Japanese
1,Supporting,34134,86033,Japanese
1,Supporting,38000,151149,Japanese
1,Main,39277,96253,Japanese
1,Main,37596,148256,Japanese
1,Main,37442,68315,Japanese
1,Main,38530,8261,Japanese
1,Supporting,37441,68315,Japanese
1,Supporting,33049,2514,Japanese
1,Supporting,37492,35258,Japanese
1,Supporting,37969,173015,Japanese
1,Supporting,37501,4114,Japanese
1,Supporting,37447,137101,Japanese
1,Supporting,36858,164655,Japanese
1,Supporting,37657,36615,Japanese
1,Supporting,37491,138403,Japanese
1,Supporting,37395,178997,Japanese
1,Main,38112,5119,Japanese
1,Main,38149,168,Japanese
1,Main,31931,168,Japanese
1,Supporting,37324,96253,Japanese
1,Main,30484,35258,Japanese
1,Supporting,37126,145233,Japanese
1,Supporting,36902,161497,Japanese
1,Supporting,36754,163197,Japanese
1,Main,35740,8261,Japanese
1,Main,36197,17951,Japanese
1,Main,36344,168,Japanese
1,Main,36343,168,Japanese
1,Supporting,33354,3076,Japanese
1,Supporting,34471,96253,Japanese
1,Main,36342,168,Japanese
1,Supporting,25537,2514,Japanese
1,Main,36144,155260,Japanese
1,Main,33027,17951,Japanese
1,Supporting,35320,3076,Japanese
1,Supporting,34825,151480,Japanese
1,Supporting,34866,162384,Japanese
1,Supporting,34866,162385,Japanese
1,Main,34533,133800,Japanese
1,Supporting,34978,145233,Japanese
1,Supporting,33486,153719,Japanese
1,Supporting,34008,142131,Japanese
1,Main,33672,8261,Japanese
1,Supporting,33983,153490,Japanese
1,Supporting,34096,138403,Japanese
1,Main,33095,119759,Japanese
1,Main,34414,133800,Japanese
1,Main,30016,133800,Japanese
1,Supporting,32829,145233,Japanese
1,Supporting,32829,145234,Japanese
1,Supporting,31490,5677,Japanese
1,Supporting,33338,5677,Japanese
1,Supporting,33082,141742,Japanese
1,Supporting,32828,140412,Japanese
1,Supporting,32494,142131,Japanese
1,Supporting,31370,139450,Japanese
1,Main,31405,137442,Japanese
1,Main,31201,8261,Japanese
1,Supporting,31859,116979,Japanese
1,Supporting,28735,119759,Japanese
1,Main,28257,96253,Japanese
1,Supporting,32188,35258,Japanese
1,Supporting,28537,133342,Japanese
1,Supporting,31018,9130,Japanese
1,Supporting,30276,86033,Japanese
1,Supporting,30512,128333,Japanese
1,Supporting,31147,136457,Japanese
1,Supporting,30413,114021,Japanese
1,Supporting,27525,2514,Japanese
1,Supporting,25183,90665,Japanese
1,Supporting,30091,128344,Japanese
1,Supporting,30790,114021,Japanese
1,Supporting,28215,127098,Japanese
1,Supporting,28215,134175,Japanese
1,Supporting,28701,2514,Japanese
1,Supporting,28511,4114,Japanese
1,Main,25383,8261,Japanese
1,Main,25801,119759,Japanese
1,Supporting,25867,123555,Japanese
1,Main,21339,68315,Japanese
1,Supporting,36064,2514,Japanese
1,Supporting,36064,165010,Japanese
1,Main,24591,96253,Japanese
1,Main,27957,35258,Japanese
1,Supporting,22297,2514,Japanese
1,Supporting,23281,68315,Japanese
1,Supporting,24277,114021,Japanese
1,Supporting,23311,126529,Japanese
1,Main,21469,8261,Japanese
1,Supporting,24075,16250,Japanese
1,Main,23433,94637,Japanese
1,Main,23201,36615,Japanese
1,Main,22507,2822,Japanese
1,Supporting,21563,104231,Japanese
1,Main,19645,8261,Japanese
1,Supporting,13119,57783,Japanese
1,Main,21067,94637,Japanese
1,Main,19157,96253,Japanese
1,Supporting,20021,65171,Japanese
1,Main,24029,2590,Japanese
1,Supporting,19365,104071,Japanese
1,Supporting,18499,16443,Japanese
1,Supporting,18411,92623,Japanese
1,Supporting,19647,4110,Japanese
1,Supporting,18497,16443,Japanese
1,Main,19759,65643,Japanese
1,Supporting,19123,5677,Japanese
1,Main,18393,3749,Japanese
1,Supporting,19165,2514,Japanese
1,Supporting,17637,4130,Japanese
1,Supporting,11577,35258,Japanese
1,Main,15699,60929,Japanese
1,Supporting,17505,90699,Japanese
1,Main,17705,9130,Japanese
1,Supporting,17705,17904,Japanese
1,Supporting,17705,32642,Japanese
1,Supporting,17705,135824,Japanese
1,Supporting,16442,4114,Japanese
1,Main,15925,8261,Japanese
1,Supporting,16395,19463,Japanese
1,Main,15059,2822,Japanese
1,Main,13601,68315,Japanese
1,Supporting,14989,67091,Japanese
1,Supporting,13587,16250,Japanese
1,Main,13115,57783,Japanese
1,Supporting,11757,65171,Japanese
1,Supporting,13261,124019,Japanese
1,Main,11741,2514,Japanese
1,Supporting,12929,78485,Japanese
1,Main,13183,2514,Japanese
1,Main,11813,2590,Japanese
1,Main,11053,8261,Japanese
1,Supporting,10863,35258,Japanese
1,Supporting,12503,23492,Japanese
1,Supporting,11697,70819,Japanese
1,Main,18549,36615,Japanese
1,Supporting,10620,23492,Japanese
1,Main,10588,16250,Japanese
1,Main,10087,2514,Japanese
1,Supporting,10012,2514,Japanese
1,Main,10802,35973,Japanese
1,Main,9745,36615,Japanese
1,Supporting,10080,42206,Japanese
1,Supporting,9863,19463,Japanese
1,Supporting,9863,67271,Japanese
1,Main,9253,35258,Japanese
1,Supporting,10165,42659,Japanese
1,Supporting,6919,43210,Japanese
1,Main,9979,4114,Japanese
1,Main,10534,8261,Japanese
1,Supporting,9513,23247,Japanese
1,Supporting,9201,6296,Japanese
1,Main,9861,4130,Japanese
1,Supporting,9120,23247,Japanese
1,Supporting,8457,16443,Japanese
1,Supporting,9074,36995,Japanese
1,Main,8960,35973,Japanese
1,Supporting,6634,36615,Japanese
1,Main,8190,1184,Japanese
1,Main,8038,1184,Japanese
1,Main,7661,30857,Japanese
1,Supporting,6547,33498,Japanese
1,Main,8133,4114,Japanese
1,Main,6988,8261,Japanese
1,Supporting,6922,2514,Japanese
1,Supporting,7559,2514,Japanese
1,Main,5690,1184,Japanese
1,Main,7254,7776,Japanese
1,Main,6867,30574,Japanese
1,Supporting,6980,139968,Japanese
1,Supporting,6702,43547,Japanese
1,Supporting,7193,28697,Japanese
1,Supporting,6112,15869,Japanese
1,Main,6187,1184,Japanese
1,Supporting,3784,1262,Japanese
1,Main,5226,20602,Japanese
1,Main,5753,4114,Japanese
1,Main,6930,8261,Japanese
1,Supporting,4726,21077,Japanese
1,Supporting,5258,4110,Japanese
1,Main,5583,2882,Japanese
1,Main,4477,1184,Japanese
1,Supporting,5040,39879,Japanese
1,Supporting,4548,16443,Japanese
1,Supporting,4548,16718,Japanese
1,Supporting,4214,3865,Japanese
1,Supporting,4981,17863,Japanese
1,Supporting,4472,4130,Japanese
1,Main,4151,4907,Japanese
1,Supporting,4262,15869,Japanese
1,Supporting,4262,32543,Japanese
1,Main,4264,74437,Japanese
1,Supporting,3668,13425,Japanese
1,Supporting,3577,16154,Japanese
1,Main,3859,10162,Japanese
1,Main,5096,8261,Japanese
1,Main,3229,8031,Japanese
1,Supporting,3366,10660,Japanese
1,Supporting,2993,3865,Japanese
1,Main,3227,7776,Japanese
1,Main,2508,2510,Japanese
1,Main,3965,1184,Japanese
1,Supporting,2985,148578,Japanese
1,Supporting,2759,1262,Japanese
1,Supporting,2246,3661,Japanese
1,Main,2743,1264,Japanese
1,Supporting,1726,34255,Japanese
1,Supporting,3931,2822,Japanese
1,Supporting,2161,49009,Japanese
1,Supporting,1887,4130,Japanese
1,Main,1914,3027,Japanese
1,Supporting,2215,4125,Japanese
1,Supporting,1818,85857,Japanese
1,Supporting,2026,4130,Japanese
1,Main,2673,8261,Japanese
1,Main,1698,1184,Japanese
1,Supporting,1813,2510,Japanese
1,Main,1559,2590,Japanese
1,Supporting,1530,334,Japanese
1,Supporting,1536,4102,Japanese
1,Supporting,1536,9679,Japanese
1,Supporting,1856,4090,Japanese
1,Supporting,1584,11880,Japanese
1,Supporting,1903,11880,Japanese
1,Main,1906,1472,Japanese
1,Main,1194,4105,Japanese
1,Supporting,1015,168,Japanese
1,Supporting,2294,1264,Japanese
1,Supporting,943,6222,Japanese
1,Main,957,3027,Japanese
1,Supporting,877,2449,Japanese
1,Supporting,859,68447,Japanese
1,Main,2392,8261,Japanese
1,Main,771,3926,Japanese
1,Supporting,356,2514,Japanese
1,Supporting,1241,1264,Japanese
1,Main,1907,1472,Japanese
1,Main,1931,4114,Japanese
1,Supporting,282,63117,Japanese
1,Main,1905,1472,Japanese
1,Main,73,168,Japanese
1,Main,6291,168,Japanese
1,Supporting,309,4089,Japanese
1,Supporting,411,275871,Japanese
1,Main,8687,8261,Japanese
1,Supporting,1930,4114,Japanese
1,Main,126,4112,Japanese
1,Supporting,738,28807,Japanese
1,Main,448,843,Japanese
1,Supporting,423,11880,Japanese
1,Main,1929,4114,Japanese
