mal_id,recommendation_mal_id
3269,317
3269,6922
3269,299
3269,3446
3269,5681
3269,6444
3269,8311
4469,5501
454,10012
454,31471
454,2743
454,227
299,3269
299,552
299,6151
299,1682
9332,11757
9332,11759
9332,39597
9332,5681
9332,177
9332,467
873,11757
873,17265
873,6702
873,52347
873,1482
873,1202
873,3366
873,20
873,2031
48,11757
48,17265
48,11759
48,2164
48,5530
48,30
48,3655
48,3359
48,31859
48,6547
48,5681
48,226
48,132
48,34866
48,111
48,272
48,252
48,51092
48,1571
48,16201
48,59
48,56146
48,22547
48,5114
48,10087
48,4981
48,177
48,790
48,55
48,56
48,308
48,1
48,339
48,3420
48,10260
48,21167
48,3230
48,467
48,457
298,11757
298,31859
298,34866
298,17265
298,5681
298,19009
298,11759
298,860
298,2049
298,482
11375,11757
11375,11759
11375,3561
11375,2952
11375,5681
11375,1303
11375,5998
1487,1817
58985,53590
58985,50265
58985,39468
29978,38763
29978,28761
29978,35330
29978,33859
29978,16774
29978,32894
29978,16436
11755,801
11755,9629
11755,41750
11755,13391
11755,43
11755,2202
11755,420
11755,1301
1583,321
1583,424
1583,1456
1583,35240
1583,13203
1583,33685
1583,150
1583,4039
1583,282
1583,1079
1583,4981
1583,1678
1583,272
1583,152
1583,467
1583,252
1583,1016
1583,889
28761,29943
28761,31687
28761,9990
28761,28339
28761,29978
28761,23061
28761,44059
28761,28085
28761,48971
28761,41797
28761,29629
28761,5299
28761,21041
28761,29770
28761,34422
28761,21861
28761,40171
28761,48961
5525,5530
5525,1575
5525,15613
5525,1482
5525,26243
5525,6444
5525,4186
5525,16035
5525,27
5525,7058
5525,3457
5525,9919
5525,251
5525,149
5525,20
5525,60
5525,953
5525,10161
5525,121
5525,8086
5525,2369
5525,1691
5525,68
5525,16498
5525,6880
5525,10087
5525,11741
5525,336
5525,14075
5525,20507
5525,32175
5525,33726
5525,31452
5525,8888
5525,24211
5525,129
5525,3092
5525,177
5525,2559
5525,5781
5525,69
5525,5114
5525,356
5525,5940
5525,4662
5525,16009
5525,10793
5525,6500
5525,11757
5525,10372
5525,16890
5525,19117
5525,5507
1328,287
1328,263
1328,2052
2730,5042
2730,38397
2730,1944
6060,4224
6060,743
36747,41452
36747,31107
36747,7028
57472,57254
57472,54504
7374,2863
34052,9624
34052,39196
34052,727
39208,57110
39208,43775
39208,35981
41380,31859
41380,30831
41380,11757
41380,384
41380,53446
41380,11887
41380,36882
41380,44524
41380,6547
41380,44881
41380,52830
41380,34497
41380,38573
41380,41456
41380,38656
41380,51128
41380,31240
41380,17265
41380,38449
41380,38735
41380,50184
41380,35790
44881,41380
5133,1435
5133,1000
1549,2761
3914,885
3914,3220
3914,11447
3914,4943
3914,601
3914,2891
3914,5819
3914,7818
3914,5802
3914,5924
1901,39198
1901,593
1901,28497
1901,3258
1901,2158
1901,49163
1901,953
1901,2998
1901,1662
1901,9782
1901,2202
1901,879
1901,47
1901,1301
6682,4975
6682,355
6682,10620
6682,2970
6682,9750
6682,6547
6682,10578
6682,25157
6682,19769
6682,7079
6682,3166
6682,4581
6682,356
6682,269
6682,12293
6682,11757
6682,64
6682,204
6682,10490
6682,10588
6682,4654
6682,8074
6682,5114
6682,1965
6682,21603
6682,9756
6682,2369
6682,8630
6682,101
6682,857
6682,25159
6682,1607
6682,79
6682,112
6682,18277
6682,32105
6682,25397
6682,819
6682,12175
6682,11759
6682,9922
6682,10087
6682,1581
6682,6746
6682,3656
6682,6676
6682,2603
6682,98
6682,5734
6682,2523
6682,10156
6682,2781
6682,5530
6682,8841
6682,9331
6682,1482
6682,6500
6682,934
6682,5507
6682,6213
6682,1546
6682,17651
6682,14741
6682,3457
6682,1085
6682,953
6682,384
7739,10934
7739,9515
7739,8675
23579,6586
23579,74
23579,3641
23579,1486
32601,1486
32601,3641
32601,28297
32601,6045
32601,30014
32601,41389
32601,1040
32601,35078
32601,74
5762,4399
5762,18039
5762,18691
5762,10421
5762,15391
5762,3940
5762,16397
54041,40904
54041,31953
54041,23277
54041,57663
54041,43693
54041,9253
54041,8525
54041,21877
54041,34051
54041,25835
54041,42249
54041,35427
48858,52381
48858,44583
48858,7897
35248,28223
35248,40046
35248,1943
35248,2246
35248,5081
35248,11285
35248,9756
35248,27775
35248,3701
35248,8525
35248,43299
35248,32979
35248,34550
35248,2596
35248,3420
35248,14075
30234,7337
40679,20583
40679,37972
40679,39533
40679,37965
40679,10800
40679,18507
40679,31646
40679,36653
40679,50185
40679,32947
53802,48736
53802,240
53802,40392
29347,32294
29347,28775
31874,22427
54066,55650
54066,54153
54066,53920
54066,36062
28339,28761
28339,22841
32813,38796
2863,2955
2863,7374
40148,15051
40148,37976
40148,38670
40148,40842
40148,44275
40148,35503
40148,38009
40148,23587
40148,19023
40148,37962
40148,12149
47426,37976
47426,28171
42845,42844
42845,40001
15527,17151
15527,15529
15527,2832
36840,36198
36840,35629
36840,40254
36840,38212
36840,41332
36840,39963
36840,651
36840,34823
36840,37320
2864,4490
24783,33217
31646,23273
31646,10800
31646,16
31646,4081
31646,22135
31646,28735
31646,12189
31646,28851
31646,22789
31646,33899
31646,38680
31646,38080
31646,35905
31646,135
31646,46352
31646,13759
31646,33352
31646,5081
31646,32948
31646,2562
31646,9989
31646,37379
31646,32828
31646,39710
31646,457
31646,7674
31646,37786
31646,32182
31646,47917
31646,52991
31646,10162
31646,6045
31646,1210
31646,42897
