mal_id,watching,completed,on_hold,dropped,plan_to_watch,total,score_1_votes,score_1_percentage,score_2_votes,score_2_percentage,score_3_votes,score_3_percentage,score_4_votes,score_4_percentage,score_5_votes,score_5_percentage,score_6_votes,score_6_percentage,score_7_votes,score_7_percentage,score_8_votes,score_8_percentage,score_9_votes,score_9_percentage,score_10_votes,score_10_percentage
59356,7,146,4,20,20,197,2.0,2.2,0.0,0.0,3.0,3.3,6.0,6.6,25.0,27.5,33.0,36.3,19.0,20.9,2.0,2.2,0.0,0.0,1.0,1.1
56036,21,770,8,29,113,941,5.0,1.0,6.0,1.2,8.0,1.6,14.0,2.8,50.0,9.9,138.0,27.4,144.0,28.6,81.0,16.1,17.0,3.4,40.0,8.0
2928,451,14953,302,349,6472,22527,101.0,1.0,93.0,1.0,164.0,1.7,457.0,4.7,1184.0,12.1,2054.0,21.1,2709.0,27.8,1500.0,15.4,875.0,9.0,608.0,6.2
3269,726,22790,452,537,9762,34267,120.0,0.8,156.0,1.0,260.0,1.7,560.0,3.6,1270.0,8.3,2457.0,16.0,4157.0,27.0,3075.0,20.0,1919.0,12.5,1400.0,9.1
4469,241,6918,182,266,3528,11135,83.0,1.9,104.0,2.4,182.0,4.2,292.0,6.8,683.0,15.8,888.0,20.6,871.0,20.2,592.0,13.7,308.0,7.1,315.0,7.3
454,325,15421,261,423,5027,21457,265.0,2.6,312.0,3.1,444.0,4.4,881.0,8.8,1662.0,16.6,2108.0,21.0,2008.0,20.0,1111.0,11.1,609.0,6.1,621.0,6.2
1143,360,17510,302,323,5847,24342,85.0,0.7,104.0,0.9,246.0,2.1,595.0,5.1,1718.0,14.8,2805.0,24.1,3274.0,28.2,1615.0,13.9,655.0,5.6,519.0,4.5
299,858,24478,1149,998,7504,34987,114.0,0.7,148.0,0.9,291.0,1.7,833.0,4.9,2375.0,13.9,3877.0,22.6,4696.0,27.4,2635.0,15.4,1229.0,7.2,932.0,5.4
9332,1156,28997,635,683,10752,42223,125.0,0.6,65.0,0.3,185.0,0.9,522.0,2.6,1646.0,8.1,3378.0,16.5,6199.0,30.4,4781.0,23.4,2025.0,9.9,1487.0,7.3
10390,247,4643,166,293,3487,8836,66.0,2.3,51.0,1.8,68.0,2.4,162.0,5.8,391.0,13.9,569.0,20.2,567.0,20.2,431.0,15.3,336.0,12.0,169.0,6.0
873,2835,47649,3201,4057,19128,76870,262.0,0.7,370.0,1.0,675.0,1.9,1660.0,4.6,3794.0,10.5,6623.0,18.3,10344.0,28.6,6780.0,18.7,3266.0,9.0,2445.0,6.8
48,9074,106273,9612,14267,51995,191221,775.0,0.9,1028.0,1.2,1808.0,2.1,4281.0,4.9,8876.0,10.2,14844.0,17.1,23210.0,26.7,17070.0,19.7,8766.0,10.1,6208.0,7.1
298,1812,49551,2055,2807,14310,70535,290.0,0.8,431.0,1.2,860.0,2.4,2007.0,5.5,4691.0,13.0,8028.0,22.2,10007.0,27.6,5661.0,15.6,2681.0,7.4,1541.0,4.3
1994,254,7691,197,278,4007,12427,96.0,2.0,105.0,2.2,222.0,4.6,367.0,7.6,847.0,17.6,1123.0,23.3,1061.0,22.0,505.0,10.5,241.0,5.0,246.0,5.1
11375,448,11580,277,341,6736,19382,73.0,0.9,62.0,0.8,129.0,1.6,280.0,3.5,621.0,7.7,1261.0,15.7,2285.0,28.4,1617.0,20.1,1066.0,13.3,642.0,8.0
1487,395,17749,289,316,6242,24991,104.0,0.9,119.0,1.0,254.0,2.1,571.0,4.8,1561.0,13.1,2553.0,21.5,3152.0,26.5,1893.0,15.9,1035.0,8.7,646.0,5.4
15219,215,4424,137,211,2841,7828,38.0,1.4,43.0,1.6,92.0,3.5,162.0,6.1,439.0,16.5,733.0,27.5,600.0,22.5,281.0,10.5,128.0,4.8,148.0,5.6
47653,45,75,5,55,75,255,4.0,8.9,0.0,0.0,1.0,2.2,5.0,11.1,4.0,8.9,13.0,28.9,6.0,13.3,3.0,6.7,3.0,6.7,6.0,13.3
52399,52,74,11,80,67,284,3.0,8.8,2.0,5.9,0.0,0.0,1.0,2.9,11.0,32.4,6.0,17.6,2.0,5.9,1.0,2.9,1.0,2.9,7.0,20.6
58985,1723,2777,444,1716,5615,12275,185.0,7.3,151.0,6.0,202.0,8.0,351.0,13.9,555.0,21.9,528.0,20.8,297.0,11.7,114.0,4.5,50.0,2.0,100.0,3.9
60425,415,1426,106,310,2132,4389,41.0,3.8,30.0,2.8,61.0,5.6,89.0,8.2,261.0,24.1,227.0,20.9,154.0,14.2,154.0,14.2,28.0,2.6,40.0,3.7
12763,104,344,85,257,482,1272,26.0,10.3,6.0,2.4,13.0,5.2,28.0,11.1,47.0,18.7,49.0,19.4,28.0,11.1,10.0,4.0,3.0,1.2,42.0,16.7
33978,54,247,13,91,150,555,16.0,10.1,5.0,3.1,6.0,3.8,16.0,10.1,46.0,28.9,28.0,17.6,16.0,10.1,2.0,1.3,1.0,0.6,23.0,14.5
